报表日期,单位,一、经营活动产生的现金流量,销售商品、提供劳务收到的现金,收到的税费返还,收到的其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付的其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,二、投资活动产生的现金流量,收回投资所收到的现金,取得投资收益所收到的现金,处置固定资产、无形资产和其他长期资产所收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到的其他与投资活动有关的现金,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产所支付的现金,投资所支付的现金,取得子公司及其他营业单位支付的现金净额,支付的其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,三、筹资活动产生的现金流量,吸收投资收到的现金,其中：子公司吸收少数股东投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息所支付的现金,其中：子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,四、汇率变动对现金及现金等价物的影响,五、现金及现金等价物净增加额,加:期初现金及现金等价物余额,六、期末现金及现金等价物余额,附注,净利润,少数股东权益,未确认的投资损失,资产减值准备,固定资产折旧、油气资产折耗、生产性物资折旧,无形资产摊销,长期待摊费用摊销,待摊费用的减少,预提费用的增加,处置固定资产、无形资产和其他长期资产的损失,固定资产报废损失,公允价值变动损失,递延收益增加（减：减少）,预计负债,财务费用,投资损失,递延所得税资产减少,递延所得税负债增加,存货的减少,经营性应收项目的减少,经营性应付项目的增加,已完工尚未结算款的减少(减:增加),已结算尚未完工款的增加(减:减少),其他,经营活动产生现金流量净额,债务转为资本,一年内到期的可转换公司债券,融资租入固定资产,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,现金及现金等价物的净增加额
20200930,元,,75985637409.09,44074748.12,814396328.57,76844108485.78,67087150882.98,4938052674.56,487801908.72,2049794513.74,74562799980.00,2281308505.78,,259241075.28,729735873.94,410365364.21,464772.11,16129141.26,1415936226.80,25883969040.88,872933455.85,178373092.98,42483109.60,26977758699.31,-25561822472.51,,5132919988.44,1136920000.00,39338480057.33,0,8285150000.00,52756550045.77,22172457075.19,2028290775.37,603415677.92,690032215.48,24890780066.04,27865769979.73,-10713359.53,4574542653.47,5692332240.91,10266874894.38,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200630,元,,45329036181.56,29179104.82,725775233.35,46083990519.73,40634105423.94,3068738990.00,315401702.58,1407151071.63,45425397188.15,658593331.58,,19765145.61,1294750.00,372391578.95,464772.11,3315588.35,397231835.02,15013815473.41,780363704.39,127324201.48,43097745.92,15964601125.20,-15567369290.18,,1046000000.00,1046000000.00,26230324172.97,0,8285150000.00,35561474172.97,15076919008.18,1233794141.66,168099420.96,18060256.83,16328773406.67,19232700766.30,-698264.39,4323226543.31,5692332240.91,10015558784.22,,3828903312.50,0,0,49856223.54,998633286.15,39665232.40,101293380.76,0,0,65147148.15,31097017.92,4111949.63,0,0,502721958.82,-1241206487.88,17078459.09,-1067946.32,-5733741971.33,-905334337.64,2901436105.79,0,0,0,658593331.58,22050000.00,0,0,10015558784.22,5692332240.91,0,0,4323226543.31
20200331,元,,20842913295.66,9902951.82,768930810.94,21621747058.42,19140132987.06,1456715559.34,151746368.43,715581996.74,21464176911.57,157570146.85,,7111376.61,1294750.00,69576305.41,0,1739370.59,79721802.61,4960297027.32,216543228.86,107460000.00,22453994.60,5306754250.78,-5227032448.17,,342500000.00,342500000.00,12773190920.74,0,5983600000.00,19099290920.74,9195919724.86,218042762.55,23563958.16,12159282.92,9426121770.33,9673169150.41,13960704.62,4617667553.71,5692332240.91,10309999794.62,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191231,元,,85465124518.80,40997832.64,1848347792.69,87354470144.13,75371393866.63,5016074638.53,617672328.17,1912436279.76,82917577113.09,4436893031.04,,989044758.11,646305494.11,525081308.02,25430905.63,7451804.89,2193314270.76,9345892451.43,689122316.05,835258760.54,60329524.87,10930603052.89,-8737288782.13,,29176051.27,29176051.27,23444719635.61,0,90596000.00,23564491686.88,17352696878.84,975170675.68,333946937.21,542045666.81,18869913221.33,4694578465.55,-72821725.33,321360989.13,5370971251.78,5692332240.91,,6180556192.22,0,0,264596111.67,1171467675.19,75446492.04,107811346.01,0,0,98143476.42,29220251.38,11799458.56,0,0,508233758.47,-2378547189.52,-61227625.87,-2179554.50,-4059669566.64,-824945947.59,3316188153.20,0,0,0,4436893031.04,0,0,0,5692332240.91,5370971251.78,0,0,321360989.13
20190930,元,,59822855470.74,30015831.83,1230676124.71,61083547427.28,53237171987.11,3413422391.93,457554206.86,1811065369.88,58919213955.78,2164333471.50,,968643124.55,643710439.89,51152890.14,25430905.63,6033839.98,1694971200.19,5456441701.38,640687810.16,155025674.84,30554503.93,6282709690.31,-4587738490.12,,12769051.27,12769051.27,16192808003.49,0,59596000.00,16265173054.76,12291224312.65,882806792.51,400433888.33,457717675.01,13631748780.17,2633424274.59,10560980.93,220580236.90,5370971251.78,5591551488.68,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20190630,元,,36386466981.33,16315587.19,514690517.10,36917473085.62,32807144417.50,2215602613.64,330637421.07,1020404459.47,36373788911.68,543684173.94,,793098060.52,12937500.00,48295897.64,25430905.63,4560807.10,884323170.89,2809336078.23,280063765.72,0,24400349.94,3113800193.89,-2229477023.00,,769051.27,769051.27,6091224191.78,0,6590000.00,6098583243.05,5255899748.30,438387263.55,186005410.83,449064911.32,6143351923.17,-44768680.12,-2134444.10,-1732695973.28,5370971251.78,3638275278.50,,2078740217.93,0,0,67504728.64,522687280.47,37115127.85,64936261.78,0,0,38316628.29,13567167.31,61001.80,0,0,205893276.05,-1409962406.00,7470177.84,-1091537.33,-1799339172.91,-884066890.81,1601852313.03,0,0,0,543684173.94,0,0,0,3638275278.50,5370971251.78,0,0,-1732695973.28
20190331,元,,16920186392.72,8971163.10,444881128.31,17374038684.13,15462909366.69,1080592961.00,152961073.66,657159872.97,17353623274.32,20415409.81,,792588278.30,0,34283495.53,0,2063514.38,828935288.21,1247128622.78,250375000.00,0,15788238.71,1513291861.49,-684356573.28,,769051.27,769051.27,1811005805.84,0,0,1811774857.11,2429449915.99,112914769.96,25042820.32,447117539.50,2989482225.45,-1177707368.34,-6921943.12,-1848570474.93,5370971251.78,3522400776.85,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20181231,元,,71848594876.67,33870621.30,949357666.99,72831823164.96,62147360462.48,4340170197.41,625922129.93,2381383575.05,69494836364.87,3336986800.09,,1358832162.02,172864705.12,304331804.54,144747050.32,7392403.73,1988168125.73,3707458633.09,669241964.32,0,3061116.47,4379761713.88,-2391593588.15,,17114039.46,17114039.46,11756726118.80,0,20000000.00,11793840158.26,9028811404.18,1180790718.56,112063779.04,181615781.46,10391217904.20,1402622254.06,-2710195.00,2345305271.00,3025665980.78,5370971251.78,,2721803276.10,0,0,697730462.34,1027887099.16,70580568.22,73049475.81,0,0,58123151.72,58877019.31,-1577581.96,0,0,464782131.45,-2182186909.46,21263667.71,-2140513.00,-332416441.43,137901574.67,523309819.45,0,0,0,3336986800.09,0,0,0,5370971251.78,3025665980.78,0,0,2345305271.00
20180930,元,,53066779432.69,24623608.48,528967928.26,53620370969.43,46447253195.30,3059120065.08,505600816.83,1555322674.79,51567296752.00,2053074217.43,,1304511762.46,164961107.44,152112635.50,110521410.60,0,1732106916.00,2573037496.67,648800404.32,0,13046363.23,3234884264.22,-1502777348.22,,13613039.46,13613039.46,7993231020.66,0,20000000.00,8026844060.12,5592809487.14,1209659752.00,201807424.87,45524128.79,6847993367.93,1178850692.19,6923117.88,1736070679.28,3025665980.78,4761736660.06,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180630,元,,33353365195.42,14887826.65,512472614.31,33880725636.38,29170840386.43,1983667117.97,328745637.08,1158378662.09,32641631803.57,1239093832.81,,1217611738.50,23182402.21,125577684.99,6630943.73,0,1373002769.43,1601274975.76,625004260.40,0,13253268.23,2239532504.39,-866529734.96,,3713039.56,3713039.56,6372391501.93,0,21563213.10,6397667754.59,4507797774.37,229594712.24,60384026.19,29696652.86,4767089139.47,1630578615.12,12471778.98,2015614491.95,3025665980.78,5041280472.73,,1411614399.38,0,0,346761515.35,608234841.70,32621301.23,41532287.17,0,0,-41417440.34,16331298.14,3724562.50,0,0,221602215.83,-1296206756.28,-3508861.96,-1058929.56,91637548.90,-721493666.12,528719516.87,0,0,0,1239093832.81,0,0,0,5041280472.73,3025665980.78,0,0,2015614491.95
20180331,元,,15275883559.65,3836135.29,220292847.72,15500012542.66,13830035445.45,1008390905.85,163603424.37,487270352.68,15489300128.35,10712414.31,,944216733.26,4836746.18,33298657.44,6630943.73,4859147.55,993842228.16,747382655.16,464744926.40,0,4110766.80,1216238348.36,-222396120.20,,5726315.78,5726315.78,3107382093.54,0,0,3113108409.32,1725871403.72,68949608.61,6339783.25,4141475.54,1798962487.87,1314145921.45,-21952641.83,1080509573.73,3025665980.78,4106175554.51,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20171231,元,,64269674179.55,19188141.61,1121027581.66,65409889902.82,55568532836.08,3981216803.11,586578675.60,2561369858.71,62697698173.50,2712191729.32,,488423572.49,454091216.00,367464057.20,14809755.83,14831060.14,1339619661.66,2496212235.70,1255379288.53,142411311.92,2550052.32,3896552888.47,-2556933226.81,,19583058.00,19583058.00,7174178381.43,0,6817679.00,7200579118.43,4482525511.89,2752445685.45,347843367.33,132402150.90,7367373348.24,-166794229.81,-94242272.73,-105778000.03,3131443980.81,3025665980.78,,2932209970.59,0,0,153509949.44,1113008994.50,60986757.13,69709542.41,0,0,-27724678.37,24246094.88,-128971.95,0,0,381821428.50,-2213657813.37,-1986243.05,-150835.52,-604525774.48,-313073322.23,1137946630.84,0,0,0,2712191729.32,0,0,0,3025665980.78,3131443980.81,0,0,-105778000.03
20170930,元,,48021861452.14,28297144.62,474329316.36,48524487913.12,41956483771.99,2740570732.80,461575160.04,1486682276.82,46645311941.65,1879175971.47,,73855264.73,434546382.51,81623470.84,5618233.71,11810764.41,607454116.20,1315296550.92,556067214.83,142411311.92,22549522.24,2036324599.91,-1428870483.71,,10008000.00,10008000.00,4404196660.54,0,8299300.00,4422503960.54,2918569686.59,2642417360.47,255377849.59,30386498.61,5591373545.67,-1168869585.13,-57126187.97,-775690285.34,3131443980.81,2355753695.47,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170630,元,,31412818290.74,23775165.07,464456882.72,31901050338.53,27781562551.25,1824267053.74,302940413.56,1005578344.12,30914348362.67,986701975.86,,43132659.66,10785505.05,55797868.87,4418965.30,11810764.41,125945763.29,807949155.40,556067214.83,127951311.92,6071658.17,1498039340.32,-1372093577.03,,8700000.00,8700000.00,4050633759.98,0,8299300.00,4067633059.98,1903267428.64,278981696.73,129601339.27,26371956.34,2208621081.71,1859011978.27,-20458164.22,1453162212.88,3131443980.81,4584606193.69,,1451021901.09,0,0,92119950.00,538039423.73,28650042.02,32987471.77,0,0,25491929.08,0,3681898.13,0,0,168649390.30,-1242001694.54,-6067935.97,-1349060.78,58854885.35,-587466663.84,424090439.52,0,0,0,986701975.86,0,0,0,4584606193.69,3131443980.81,0,0,1453162212.88
20170331,元,,15257268300.84,7924152.25,311389471.28,15576581924.37,13832863523.89,881003636.56,139467317.25,625177294.06,15478511771.76,98070152.61,,14267838.48,255983.65,23243545.84,0,0,37767367.97,343101922.68,507500645.84,116140547.51,0,966743116.03,-928975748.06,,7818000.00,7818000.00,1537705646.64,0,0,1545523646.64,516710828.15,90804113.86,52117592.95,15501558.60,623016500.61,922507146.03,-5071332.05,86530218.53,3131443980.81,3217974199.34,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20161231,元,,64048794923.48,22734149.33,546147044.46,64617676117.27,55833703628.53,3515309695.98,580096711.35,1577108958.43,61506218994.29,3111457122.98,,1917755834.00,553865957.48,280494118.17,0,0,2752115909.65,2103175178.30,848991522.09,268932981.89,70132863.64,3291232545.92,-539116636.27,,5067057.86,5067057.86,5297225486.02,1996800000.00,0,7299092543.88,8566943083.22,1831233169.75,401080840.79,77945745.15,10476121998.12,-3177029454.24,18054760.43,-586634207.10,3718078187.91,3131443980.81,,3132438656.19,0,0,215583281.68,882699806.47,54280864.07,46597244.79,0,0,3131647.34,0,-6569260.83,0,0,271818071.89,-2090821356.60,-47264210.26,-1852548.72,-966489156.82,-148122534.45,1766026618.23,0,0,0,3111457122.98,0,0,0,3131443980.81,3718078187.91,0,0,-586634207.10
20160930,元,,45917264249.58,10032179.98,561392240.41,46488688669.97,40054346221.17,2540767632.22,500052747.63,1334773111.96,44429939712.98,2058748956.99,,1723109291.38,555182998.99,122244930.26,19887739.12,0,2420424959.75,1247491360.05,564875620.43,221645474.27,5514158.33,2039526613.08,380898346.67,,4567057.86,4567057.86,5683344643.32,0,0,5687911701.18,6417955238.62,1611088293.93,191573860.17,17719578.25,8046763110.80,-2358851409.62,13894752.04,94690646.08,3718078187.91,3812768833.99,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20160630,元,,29267161995.86,8488129.95,324566646.58,29600216772.39,25226521786.13,1656414630.41,335902869.26,986535961.19,28205375246.99,1394841525.40,,353114303.43,333517093.46,81475792.37,0,0,768107189.26,780520042.64,287736499.82,0,89400043.32,1157656585.78,-389549396.52,,4567057.86,4567057.86,1781840182.23,0,0,1786407240.09,2113406437.40,1411119511.78,173410053.72,9833984.96,3534359934.14,-1747952694.05,11693841.92,-730966723.25,3718078187.91,2987111464.66,,1832165720.68,0,0,63746200.65,437592733.62,18896209.62,21257352.84,0,0,-12175586.55,0,-130415.17,0,0,128368713.28,-1205505994.90,-623046.62,504189.52,-357948805.36,-820241542.40,1288935796.19,0,0,0,1394841525.40,0,0,0,2987111464.66,3718078187.91,0,0,-730966723.25
20160331,元,,12864348038.45,0,111649449.70,12975997488.15,10812022216.09,843306320.03,141205442.40,460831770.77,12257365749.29,718631738.86,,207731423.21,116881131.36,29925743.52,0,0,354538298.09,174156502.47,126126111.81,0,59618331.64,359900945.92,-5362647.83,,2567057.86,2567057.86,961896189.26,0,0,964463247.12,1121460081.45,75082820.59,12245378.99,5957557.41,1202500459.45,-238037212.33,-9608287.71,465623590.99,3718078187.91,4183701778.90,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20151231,元,,64929685329.34,2890024.65,403172831.35,65335748185.34,56445354069.02,3516704134.70,593212366.63,1592713345.36,62147983915.71,3187764269.63,,4840195878.74,306285174.77,196286427.49,37400751.99,0,5380168232.99,1767305716.24,5171678290.62,2402750.99,0,6941386757.85,-1561218524.86,,157702057.50,157702057.50,6542220795.01,0,48009525.90,6747932378.41,6809843533.78,1061875530.25,246556203.08,51102518.41,7922821582.44,-1174889204.03,-2125227.69,449531313.05,3268546874.86,3718078187.91,,2959663056.03,0,0,140471184.98,872641931.32,36109603.27,43733332.43,0,0,18590539.99,0,1685401.91,0,0,351227324.01,-2432715012.34,-126052778.56,-125185.42,1258662569.22,369543165.45,-305670862.66,0,0,0,3187764269.63,0,0,0,3718078187.91,3268546874.86,0,0,449531313.05
20150930,元,,48594200610.16,580619.03,368739434.19,48963520663.38,42414618487.49,2429619629.31,418995533.13,1278743326.00,46541976975.93,2421543687.45,,3489181184.95,309163065.23,110869045.07,7336745.89,0,3916550041.14,1142533086.57,3430741928.80,2402750.99,5375634.13,4581053400.49,-664503359.35,,108635486.51,108635486.51,5487894537.47,0,32287500.00,5628817523.98,5314307680.41,898792215.56,130236640.64,25007035.92,6238106931.89,-609289407.91,2544755.39,1150295675.58,3268546874.86,4418842550.44,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
